Date,AAPL_forecast_garch_d,AMD_forecast_garch_d,AMZN_forecast_garch_d,GOOGL_forecast_garch_d,IBM_forecast_garch_d,META_forecast_garch_d,MSFT_forecast_garch_d,NVDA_forecast_garch_d,SPY_forecast_garch_d,TSLA_forecast_garch_d,AAPL_forecast_har_d,AMD_forecast_har_d,AMZN_forecast_har_d,GOOGL_forecast_har_d,IBM_forecast_har_d,META_forecast_har_d,MSFT_forecast_har_d,NVDA_forecast_har_d,SPY_forecast_har_d,TSLA_forecast_har_d,AAPL_forecast_rfsv_d,AMD_forecast_rfsv_d,AMZN_forecast_rfsv_d,GOOGL_forecast_rfsv_d,IBM_forecast_rfsv_d,META_forecast_rfsv_d,MSFT_forecast_rfsv_d,NVDA_forecast_rfsv_d,SPY_forecast_rfsv_d,TSLA_forecast_rfsv_d,AAPL_actuals_d,AMD_actuals_d,AMZN_actuals_d,GOOGL_actuals_d,IBM_actuals_d,META_actuals_d,MSFT_actuals_d,NVDA_actuals_d,SPY_actuals_d,TSLA_actuals_d
2025-07-01,-7.810487135056047,-8.6294195272437,-8.072316200929581,-8.690739100272543,-8.104482872304702,-10.211763579638768,-11.645332451445805,-12.977687138058625,-10.690898218982431,-7.967116880411418,-7.810487135056047,-8.6294195272437,-8.072316200929581,-8.690739100272543,-8.104482872304702,-10.211763579638768,-11.645332451445805,-12.977687138058625,-10.690898218982431,-7.967116880411418,-5.408000494797856,-15.233696355116567,-11.77508546655596,-19.96358676645988,-11.880736470519954,-10.817769065903956,-16.165873838682,-10.978543572422804,-6.48891988862029,-16.348515497166886,-8.711398178514576,-6.3564682279873495,-10.651234029276022,-12.22456465092465,-8.80953334233235,-7.307136130425915,-9.050070014101719,-7.004137940082841,-16.070577789609082,-5.806841385208036
2025-07-02,-7.9683404875910435,-8.52327141707454,-8.190975478958087,-8.682116168568573,-8.109245288082326,-10.334442386796086,-11.65330007243464,-12.991829602498889,-10.878905530817995,-7.975030198444587,-12.013747930636356,-13.980788770619919,-13.100377809491844,-13.973294511533524,-11.49599570039302,-16.070192400181284,-16.492594517051046,-18.061575892619942,-13.479068987464911,-13.57274339498299,-12.953197050256312,-15.473193989586665,-11.94390494311499,-16.878873079220984,-17.495435330077235,-14.160983772500373,-15.495845506767575,-13.384585968400426,-13.45769458735739,-16.34931078196612,-7.634584745887888,-8.085246949283803,-12.021304644895018,-8.295726457461992,-8.801861150632625,-9.68515324956435,-12.476843604488028,-7.342857867111467,-10.797133736138,-6.0528914907977835
2025-07-03,-8.131613823751936,-8.631368542961788,-8.2453659358562,-8.692177008997755,-8.104027362828742,-10.378557315168127,-11.664717207998363,-13.132622110653667,-11.049284601055215,-7.987354492537278,-17.187196895730768,-19.632205679860732,-18.081027665350174,-17.752309499188627,-16.146714970691434,-21.326844140919924,-21.81434702743112,-23.428065967092707,-18.158498670823363,-20.111148133310262,-11.873641329625219,-8.230662907894681,-18.042459289043034,-18.86945496791939,-13.341828157150237,-15.10346200799475,-19.632648539239995,-14.420732502821727,-17.55524925249427,-5.762504779602808,-10.513808069421772,-10.846203207190737,-8.302486134814705,-10.608781935565114,-8.411899375395315,-9.760599883340948,-8.313547135054062,-8.65456648276567,-9.694353500807662,-13.91623360065233
2025-07-04,-8.307463842614318,-8.731891923340221,-8.367952307042568,-8.6966565116014,-8.11038064306297,-10.493468998992904,-11.67371157161514,-13.238360556222933,-11.193491872213807,-8.006752217955473,-17.25548946151441,-18.114671339078384,-18.17396027977002,-17.91573417619407,-15.549609875638419,-20.028346887207363,-21.00748273995378,-22.669324781704205,-18.263231530400596,-21.445514129594656,-10.186147845465038,-13.492862267850933,-10.177145153665869,-18.111303225127433,-19.573957175736936,-16.435677590756928,-14.422910342646048,-12.915988034338222,-12.678040882715624,-15.107413668005742,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-05,-8.452101014607871,-8.790454047781243,-8.487362891062997,-8.694685622061442,-8.116947683148041,-10.611813449955196,-11.659481486527035,-13.31655240147663,-11.342775290622237,-8.018535910724225,-12.19127730622872,-12.34228878060251,-13.338226365445959,-12.384562171092252,-11.089669757437255,-14.78521514606991,-16.48743598677013,-16.491549070655836,-13.527045894413385,-17.050280480160065,-13.684151732020302,-11.968976464379962,-17.847913977920392,-12.906162974285575,-15.691621442718567,-18.263965981752147,-18.909380619305942,-14.711405337237249,-13.279103854232286,-15.646351643242605,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-06,-8.659638483495833,-8.8802407754212,-8.580080454865358,-8.69599197266627,-8.123697280101165,-10.727959644890973,-11.669743698644528,-13.362763415963217,-11.492476478589717,-8.02848048151392,-8.519743814634623,-7.5511093423264395,-8.604243636070809,-7.404928820451616,-7.215186273655474,-8.70434128537761,-13.204712384865372,-12.149975814152347,-11.210529730171197,-10.80065477687689,-7.789662850181211,-14.762142188806044,-13.377366559398473,-14.785649206477672,-15.60582648910235,-13.898591070953481,-17.400134212185552,-14.551689185281512,-18.064038080991985,-8.473916153746906,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-07,-8.51366677164985,-8.938261714931103,-8.662386578326903,-8.689088269182266,-8.123690354192616,-10.848294721775694,-11.68002438833743,-13.353954843727694,-11.168478933159022,-8.033261336148351,-8.521653975268638,-7.787314918847761,-9.395802406858209,-9.146037695502338,-7.653520414367602,-8.140986561197133,-12.875958176054537,-11.355259164095356,-10.004838213746487,-9.881859258689683,-12.029097680950887,-14.340594715013058,-11.63451637090694,-15.337314382916876,-15.211874535799902,-12.883207044120008,-13.305683493559945,-13.499281819046677,-17.132089729855362,-9.54381191752067,-8.14889306431721,-7.561190863467174,-16.44380269891261,-8.349404305854906,-12.74127361160782,-13.985640993991069,-12.195655044880695,-9.944551365153645,-9.79106849363952,-5.309754169625224
2025-07-08,-8.645099523910371,-8.981594502419881,-8.763896418960094,-8.699362104913748,-8.129803222833099,-10.97315231555761,-11.681577468841592,-13.422340814145267,-11.337339016864908,-8.042800400838992,-7.926675329375457,-8.538997530169054,-8.05560814815411,-8.44501207100656,-7.993169174628283,-7.669040071152688,-12.342768737174906,-11.1200852621392,-9.450581497564093,-10.11688344623039,-12.473714758746201,-14.69723826082047,-13.91428676437486,-13.113858549548365,-11.500035517177173,-11.099103507485978,-18.484988200907026,-13.974472574407027,-9.622753155517774,-14.225175869530066,-16.31970322050368,-7.619264972635553,-7.973173471905008,-8.560323634916319,-9.914024723649295,-11.473988755545802,-12.227211332234745,-9.008674719900695,-15.018570727656167,-8.673338546312193
2025-07-09,-8.362672379377628,-9.032789548323642,-8.858564947374138,-8.708430692579437,-8.109381973129041,-11.02340434861546,-11.687663736372524,-13.466131125413371,-11.411063222048185,-8.090555718399411,-13.560806356355432,-13.975448543250073,-13.648185950130998,-13.48695217192261,-13.50804654671706,-12.911854455457204,-17.614697633395764,-16.402331290152517,-13.97254924305316,-13.573018011877842,-14.879909590042738,-22.2915100757696,-9.849524976818198,-9.367048166025839,-8.38396106498212,-9.369970364827864,-14.114872752635998,-10.154373823831328,-17.89875358229137,-11.699050364450361,-10.455231559766512,-10.91144279924924,-8.482080041500023,-8.704411087987925,-13.887524488617562,-8.188978876810296,-8.569297600209499,-8.052629807143056,-10.239082867541775,-10.071378415403741
2025-07-10,-8.23023440716597,-8.81912250750877,-8.834619824219335,-8.70940497328997,-8.115551546856366,-11.028092775705705,-11.691482057256724,-13.389908306315428,-11.045465307168678,-8.08786229820031,-17.82032517383954,-19.48350398604562,-16.892470393201734,-18.563006414309115,-17.21217754433016,-17.01346911065528,-23.33021009815215,-21.963084908994453,-18.136914517805018,-18.928663820857995,-9.81214893941607,-9.803391923007705,-11.337035879263302,-16.442260861186604,-13.97368547984235,-17.37577204355107,-13.829558568249885,-14.070824379609117,-14.921959488567287,-5.95599014554138,-10.232999491321776,-6.40288243330901,-13.354831789123748,-10.35364643296008,-9.337435659955787,-9.762102053491247,-11.023092189765503,-9.795788924646539,-11.744658652874385,-6.149600452056257
2025-07-11,-8.47535869179193,-8.890902956696632,-8.923309076278482,-8.700653247340174,-8.088161300331862,-11.145869699450191,-11.699086319820413,-13.460679747167505,-11.162830473807668,-8.109171732221913,-17.625047280468607,-18.510207911406255,-15.769353885184806,-17.895541868889357,-17.47056012398272,-17.30069480210573,-22.63954049781406,-22.32789943975736,-19.727626075288924,-18.652119780559836,-18.167442009407466,-10.370319910257574,-9.741620598779235,-10.703288235170223,-14.928423401324363,-12.681034095020149,-15.625021918744704,-7.334587233889559,-13.257374974028943,-6.710590262960382,-10.264847473610253,-8.32669799643951,-8.789580749265387,-8.485857487624829,-8.617580543143923,-8.614634222165021,-11.219256413262247,-10.602855807612045,-11.297671154277984,-8.900019347987008
2025-07-12,-8.612748145129064,-8.972790584741986,-9.022678532712405,-8.709358213251482,-8.095440863903626,-11.25395986010338,-11.710270854873366,-13.376636835478726,-11.312062613920572,-8.1280813570779,-12.74937228558434,-13.137305781660574,-11.337105787483935,-12.445162081828155,-12.273466138279863,-11.587859033653322,-17.63924776802215,-17.061258721115102,-14.942159957550563,-12.712694001446316,-12.31037864233182,-16.75835276259777,-11.180571138012908,-17.504391574775326,-11.58007099376749,-11.704511046662597,-12.628608223417682,-15.745022851102608,-17.452144498841015,-7.45117810114194,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-13,-8.554091881804336,-8.966794141288634,-9.112950801806644,-8.718875617876801,-8.096761227299407,-11.365320631780847,-11.72507527100537,-13.301296305530744,-11.463106669452898,-8.134965167124172,-7.450446884586836,-8.052397673803247,-5.911069071651912,-7.667239946208863,-6.45458154104224,-6.531993328011742,-13.941937475315067,-12.433859617789784,-10.940240792097004,-8.979379125039369,-12.12068234013627,-13.324140754414652,-15.284618691389571,-9.553011282435524,-17.933610539594294,-14.626307668022253,-7.439448264710913,-13.361113546201034,-17.396167879724754,-14.825111244852257,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-14,-8.615558043678874,-8.830288277211285,-9.171357314766846,-8.731065962625937,-8.071986844709741,-11.136888242593859,-11.740011779027265,-13.377870975289145,-11.567221081624089,-8.145533256058194,-7.452035098015947,-7.8579256290825175,-8.083185821718839,-6.883701344500597,-7.091085464840729,-7.590043907166413,-12.22137149371097,-11.461405733997273,-10.601961937245134,-7.566864803820445,-11.0267703844552,-14.239150909237628,-14.321630793571014,-6.481366469104742,-11.499958076280175,-16.470012898297377,-13.001759506928446,-14.224204499806934,-14.20540327086664,-4.6383822831433745,-8.82880718037136,-13.401340610067452,-11.636301715661029,-9.765986713720395,-14.514316722793648,-10.702903642122894,-14.849398408607094,-10.530811588212213,-12.5250508709028,-9.064775830190182
2025-07-15,-8.678282502035504,-8.84108430334614,-9.21985902259462,-8.701871562902678,-8.068495596980755,-11.221936738247106,-11.645624252139266,-13.36470127928867,-11.66149467218968,-8.157338968925998,-7.56659298131405,-7.268749290593297,-8.558685549201034,-7.059053949724589,-6.728044372732279,-7.177856489091516,-11.77753235573857,-10.645985847679432,-10.451270434325776,-8.303197858189819,-13.32559839025644,-8.129991371798807,-10.534034799066147,-17.734288616312764,-17.268928553984374,-13.858769040544605,-18.08289194591794,-13.446235249905001,-11.71264388023959,-12.871888539539816,-12.110034468769719,-5.557898245852579,-11.672253661849906,-12.047526278518164,-11.12026667448077,-8.43790924185365,-10.387558207316385,-6.457125053837769,-10.906464703030448,-7.874580340152699
2025-07-16,-8.76782664443106,-8.914345348133708,-9.252768627019904,-8.715255993640767,-8.073437980107535,-11.113671432923102,-11.660100535512205,-13.465718552774092,-11.78249965476465,-8.159121166012302,-11.449584671920292,-11.171296559486764,-13.262243844692946,-11.996718242308692,-10.19071381701968,-10.918861155752625,-15.752046055136242,-15.277466051417603,-12.896724751819677,-13.985515475861867,-14.979773709439465,-19.42488283620454,-12.723131565422905,-14.949558014768154,-13.62968656248573,-13.822377065050594,-19.925291264872268,-11.834003893735884,-18.11259284740911,-10.406881740820094,-10.59314155837294,-7.128315933190549,-8.528975530919745,-10.474243612133264,-11.782923083308209,-9.096574721956824,-15.670080950452654,-11.084687906335585,-11.404966414516677,-6.737017678341536
2025-07-17,-8.81401352096352,-8.89442863483525,-9.2964055702373,-8.730323184583554,-8.067392321600034,-11.198154074060689,-11.671507559872163,-13.492660128369838,-11.827845513544142,-8.002381064481327,-13.087598176834106,-12.108164317805821,-15.127409832308714,-13.209682318036407,-10.717254011682275,-12.729708404584189,-17.96553258064324,-16.88458124370574,-14.067971017940886,-14.505810255154962,-8.660734739023303,-11.585680202905912,-9.819107536142461,-15.742225568470024,-14.806692428694484,-8.515082237490196,-20.391680852525088,-13.479722325072208,-12.951130051280789,-11.793860740370278,-14.627081247000053,-12.370697688060726,-11.561244238572213,-11.410555300049756,-16.334081622422023,-12.297369631125552,-8.853520121985538,-9.319956859151866,-10.1986023825054,-9.909265634878485
2025-07-18,-8.808826444184227,-8.971246591453575,-9.068357002594212,-8.733385713673238,-8.075810370297123,-11.227801942105046,-11.682921068780892,-13.547391542142273,-11.746301714799042,-7.997908972129517,-12.75577119803214,-10.487371503482253,-13.958130156683627,-13.140690787055195,-10.443422161940214,-11.38202226614799,-16.41788216758939,-16.13855010775125,-12.79912570915579,-13.005285743061798,-14.547682866875544,-14.265228955211992,-12.104856987962947,-17.04383475021441,-13.701983274198023,-17.409272375951723,-18.183882373781017,-13.676664227914879,-12.471166663348562,-7.283138157580412,-10.403092816508906,-7.674673661182615,-9.210367193195511,-9.649256053201581,-8.590952668499733,-11.00160080530884,-11.470658390572574,-11.358437279028708,-14.437516188408477,-6.911988570814353
2025-07-19,-8.844521130785516,-8.703463382386033,-9.063643603465614,-8.740635143989206,-8.077337099435848,-11.302177735965994,-11.660263454589685,-13.62181527268879,-11.861517059171733,-7.985424426629858,-7.394635363359673,-6.0581987077441415,-9.014464775481354,-8.606556887280593,-6.278164595739428,-6.10220267003732,-11.944567910742967,-11.725145507344651,-7.8832532443552115,-7.337736724200025,-17.768638747593425,-16.87402903242865,-11.827735530979208,-19.421391166137447,-16.36105782854621,-11.367585000965402,-17.48566997450347,-10.581411799942998,-16.428389652014843,-10.308370841391849,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-20,-8.92803856114502,-8.810143054300678,-9.133946610508634,-8.751352188991888,-8.083899743317888,-11.369542915375519,-11.675936468317172,-13.659415009255543,-11.911873830624682,-7.967384976715487,-3.208012129781868,-2.311854961207146,-4.110772920928557,-3.4382429435624218,-2.929399925348662,-2.612098108640412,-8.271740698608324,-6.957405676789902,-6.040535690585779,-1.546974518374289,-9.312622532328497,-13.39496192036566,-21.12464820810884,-18.37091850698433,-15.441297603964767,-12.714892498342401,-15.143759395663341,-12.723811926107995,-16.35843514959867,-7.927260894235434,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457,-23.025850929940457
2025-07-21,-8.8472733070938,-8.868642177518876,-9.03915359041916,-8.755186220614839,-8.082019605528261,-11.392742976158022,-12.371978257274861,-13.676404196219204,-11.975522403956592,-7.972191311882785,-7.4741712056914045,-7.407258036651891,-9.238733574126407,-8.524374510407117,-8.352761854016247,-8.877428183970425,-13.981430177719187,-11.381659103124084,-11.05317236406757,-7.486121982404854,-16.24219516550584,-9.319762700706079,-16.48043230155468,-11.538111895458023,-14.221231887856382,-7.410586754134206,-13.078583168936188,-17.251887941254946,-17.092168250813103,-9.0928318379993,-10.18682592141725,-19.299492224279224,-8.548694893147905,-7.233474838654153,-11.010157238262993,-8.802294822801171,-21.446592407691583,-10.234643696862998,-12.537698457860184,-11.295684497303242
2025-07-22,-8.934174843094723,-8.884993132889736,-9.112391133414107,-8.771443978861239,-8.092837400619981,-11.47594107519327,-12.350670786865315,-13.680033437359715,-12.039298432477096,-8.023382556696216,-6.542578182186031,-8.531865831388535,-9.0841259199096,-7.5735248319353445,-8.690778913131163,-8.44168389225099,-13.864226778880683,-12.06497899008025,-11.965597239517953,-10.09257088557603,-10.723421822233465,-11.625472155020251,-10.332321387143505,-14.036855120275627,-9.237769093205584,-10.566566611082314,-19.313903031985642,-19.360547606786024,-14.24356378909305,-11.273621039340076,-9.422048289720637,-8.449530395882112,-9.65341942820727,-10.071396361507071,-9.270041240442053,-8.92889609376685,-9.326563184245325,-7.32175720672105,-17.699451706507737,-9.027036384874883
2025-07-23,-8.909797087113716,-8.90305516434619,-9.15775848670611,-8.784008181167877,-8.094255577992326,-11.45135541722167,-12.35471578779108,-13.5875490214715,-11.752895529016541,-8.002536838631224,-11.1426484138433,-14.191121862488417,-13.908794952254972,-13.171221165616398,-13.160738797523132,-13.840755374441388,-18.862130842199527,-17.88831964666464,-14.815118607481162,-15.851928247984464,-12.514627393054315,-14.419348647514207,-11.041300349863826,-13.022160407538673,-18.678011838499515,-17.468493534081837,-16.890575234035836,-18.707006211279854,-14.627265644222202,-9.282869130310349,-13.50703545264411,-7.371094667099142,-11.2545496741675,-10.293564511301291,-17.271266761233296,-8.78555686041969,-13.472932651406444,-7.6150787981810355,-9.542086572907902,-13.209193238292439
2025-07-24,-8.944373443939714,-8.192534864085214,-9.09379130349334,-8.798752977009524,-8.101648418088168,-11.319276867236335,-12.3681043426419,-13.595464679834016,-11.70457934467064,-8.014553905070692,-15.451222924155456,-18.21690102492665,-19.582055846846544,-18.27138811790413,-17.047388182756166,-19.682156106868717,-24.2722686290822,-22.767236189986335,-19.60377270534139,-20.531377012456772,-10.979877067428701,-19.869379768465976,-7.413629045534995,-15.753190392495076,-15.85197674874026,-16.91488623629024,-15.509722208569595,-15.884213585012759,-13.120442690635448,-10.473917411044136,-12.614720930724303,-7.666766156699359,-8.136006335486835,-9.18124337630607,-5.069001995714765,-12.744609627483337,-9.239545783334634,-8.12757732688195,-16.02584660329881,-4.917883077422008
2025-07-25,-8.93396822385585,-8.439930410189238,-9.142689043212531,-8.802203622089376,-8.114212266500363,-11.385211231542515,-12.392285587125645,-13.670141398315522,-11.64556420256556,-8.026612824388316,-14.503630431213619,-16.54246835736869,-20.18408312208018,-18.915343386565237,-16.673356802858628,-18.51614960650415,-21.949499342906385,-23.79991900819931,-19.1632802739203,-19.56160702923253,-11.100431979496387,-10.947047678275364,-11.578580978183364,-11.152106044476678,-7.639625510843591,-11.834478883827476,-13.336026738090775,-13.71442146782897,-14.617297626550572,-7.241331570486115,-14.970305783032035,-7.262855677839167,-11.363502932489618,-10.502111612750443,-11.593658380264698,-11.638197097389584,-10.397227450495441,-13.167872325128778,-10.938005489636003,-6.725653890001273
